[2026-01-16 15:52:27] Scan started on path: .
[2026-01-16 15:52:27] CLEAN file scanned | Path: .\test_detection.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\e9\18c4817e758dc6ecd6b110649fe57517076b10
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\e9\58f7759c60985eae54d0e46c7d29c1d41e99d7
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\ed\4f105ee86b659f46d0928f2d2775ad49bf117b
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\f1\86a0a4aabc0e209f0d33c297bfb070a8f41ebd
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\f4\84ec3eaeeeb216d201397dcc88d2a55e147ae0
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\f4\a9e106c9c97d601214ac027d45249d31b329da
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\objects\f4\d29ac978e3ebfc5343c8102b4fcb06697a36e6
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\refs\heads\main
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\refs\heads\quarantine-testing
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\refs\remotes\origin\main
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\.git\refs\remotes\origin\quarantine-testing
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\engine\detection_engine.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\engine\_init_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\engine\__pycache__\detection_engine.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\hashing\hash_engine.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\hashing\_init_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\hashing\__pycache__\hash_engine.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\logs\logger.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\logs\scan.log
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\logs\_init_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\logs\__pycache__\logger.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\quarantine\quarantine_manager.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\quarantine\_initi_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\quarantine\__pycache__\quarantine_manager.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\scanner\file_scanner.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\scanner\_init_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\scanner\__pycache__\file_scanner.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\signatures\malware_signatures.txt
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\signatures\signature_checker.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\signatures\_init_.py
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\signatures\__pycache__\signature_checker.cpython-310.pyc
[2026-01-16 15:52:28] CLEAN file scanned | Path: .\__pycache__\scanner.cpython-310.pyc
[2026-01-16 15:52:28] Scan completed
[2026-01-17 14:23:29] Scan started on path: .
[2026-01-17 14:23:29] CLEAN file scanned | Path: .\test_detection.py
[2026-01-17 14:23:29] CLEAN file scanned | Path: .\test_hashing.py
[2026-01-17 14:23:29] CLEAN file scanned | Path: .\test_quarantine.py
[2026-01-17 14:23:29] MALICIOUS file detected | Path: .\test_scanner.py
